table_num,table_name,Item,fiber,period,period_name,value,unit
1,"U.S. textile imports, by fiber",Floor coverings,Cotton,1990,calendar year,28701512,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Floor coverings,Cotton,1991,calendar year,32177520,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Floor coverings,Cotton,1992,calendar year,42266436,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Floor coverings,Cotton,1993,calendar year,47393596,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Floor coverings,Cotton,1994,calendar year,51767902,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Floor coverings,Cotton,1995,calendar year,47283749,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Floor coverings,Cotton,1996,calendar year,43671756,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Floor coverings,Cotton,1997,calendar year,49740332,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Floor coverings,Cotton,1998,calendar year,46572558,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Floor coverings,Cotton,1999,calendar year,54735255,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Floor coverings,Cotton,2000,calendar year,57578514,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Floor coverings,Cotton,2001,calendar year,58045035,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Floor coverings,Cotton,2002,calendar year,73274152,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Floor coverings,Cotton,2003,calendar year,87433338,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Floor coverings,Cotton,2004,calendar year,103056083,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Floor coverings,Cotton,2005,calendar year,93375511,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Floor coverings,Cotton,2006,calendar year,104133227,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Floor coverings,Cotton,2007,calendar year,105015020,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Floor coverings,Cotton,2008,calendar year,95803361,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Floor coverings,Cotton,2009,calendar year,91934575,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Floor coverings,Cotton,2010,calendar year,101099230,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Floor coverings,Cotton,2011,calendar year,85333344,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Floor coverings,Cotton,2012,calendar year,86986263,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Floor coverings,Cotton,2013,calendar year,93667371,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Floor coverings,Cotton,2014,calendar year,105752408,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Floor coverings,Cotton,2015,calendar year,113411555,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Floor coverings,Cotton,2016,calendar year,122062473,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Floor coverings,Cotton,2017,calendar year,130540696,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Floor coverings,Cotton,2018,calendar year,147417690,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Floor coverings,Cotton,2019,calendar year,150692418,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Floor coverings,Cotton,2020,calendar year,162549992,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Floor coverings,Cotton,2021,calendar year,222891551,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Floor coverings,Cotton,2022,calendar year,168638667,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Floor coverings,Cotton,2023,calendar year,153222355,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Floor coverings,Cotton,2024,calendar year,170233523,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Floor coverings,Cotton,2025,calendar year,162403395,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Floor coverings,Linen,1989,calendar year,12208952,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Floor coverings,Linen,1990,calendar year,12679830,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Floor coverings,Linen,1991,calendar year,13780981,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Floor coverings,Linen,1992,calendar year,26158321,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Floor coverings,Linen,1993,calendar year,30220273,raw fiber equivalent pounds
1,"U.S. textile imports, by fiber",Floor coverings,Linen,1994,calendar year,36920509,raw fiber equivalent pounds
